-340,495,-153,-910,835,-947
-175,41,-421,-714,574,-645
-487,65,-38,-508,-78,330
920,-269,805,211,857,-238
733,-228,397,500,685,646
-589,188,-14,622,-256,-248
-998,-875,-373,258,482,-53
76,11,-526,-48,489,79
195,581,-288,-903,110,-206
-408,-418,-181,-850,87,182
537,549,416,176,-452,-510
-771,816,771,-85,557,-284
-631,944,-726,-168,-158,792
80,-735,552,-646,214,203
980,-661,-969,690,-623,-866
-398,-65,182,577,-853,578
781,517,-777,-132,-859,-191
-581,-608,341,-729,-29,557
881,360,-467,-731,-454,724
-204,-71,749,-285,923,860
217,485,-77,142,-32,419
-315,-670,-15,-59,437,-726
-693,334,-105,45,-189,-143
760,707,568,-870,-221,230
-275,-610,737,-929,-81,-740
-548,-27,-943,-490,-19,149
-607,323,-104,-719,-673,-201
737,-332,-514,734,-509,-628
380,507,878,-46,-992,-413
876,175,734,983,533,-969
211,524,325,-356,-519,-48
172,-341,740,-837,-334,-120
636,146,410,-791,-206,749
-450,297,701,-694,-26,-262
-861,443,483,-997,-726,-791
438,-34,572,497,499,-905
-869,-864,835,660,-622,-850
-285,-819,350,-788,-213,80
-472,275,509,-735,793,980
-886,115,107,-170,875,873
-428,690,106,573,-802,-283
-619,907,-86,977,460,817
-913,-660,-902,-721,109,-103
-199,257,372,-539,482,462
-70,-79,674,338,-818,-746
510,830,307,-571,-410,-399
-820,260,-930,-724,-237,423
-362,-978,526,373,991,336
872,932,-70,281,-829,-372
-951,-671,-411,-123,-935,-438
142,-682,257,103,893,69
-395,-105,6,169,-862,-194
-23,281,-718,257,-119,-157
-826,344,-134,294,-819,931
-593,-38,666,-331,-499,-45
839,-795,647,257,73,349
719,449,-293,-256,-590,962
-983,133,654,915,17,-62
-184,603,675,-228,-771,-698
-628,433,64,861,-870,607
917,-564,946,-560,348,503
346,491,452,-705,134,479
-820,-710,-443,989,7,228
883,160,689,466,-874,-168
-11,-718,-24,172,565,729
732,-45,779,559,-658,-526
636,-42,-725,-55,210,68
432,-753,516,644,213,740
208,484,237,639,899,697
837,-506,944,991,673,141
670,-255,-787,734,-134,-33
647,407,245,-530,-27,-929
404,-697,-333,685,-774,353
-222,292,54,252,375,-954
117,-430,-619,-180,909,-92
231,-787,-880,-983,-649,705
-387,-688,731,19,-265,-172
-717,-6,-284,854,550,-855
-909,-733,248,-23,-976,-29
24,-554,-504,-310,320,-373
-218,-874,343,134,-751,347
584,-716,-322,-793,-200,-463
-719,-829,-14,350,-533,-352
455,-655,446,97,749,973
-230,-413,256,453,-598,224
400,1,299,746,-740,844
108,140,525,493,-487,-804
-800,-190,106,9,-714,838
-833,445,-802,-718,400,399
782,157,-801,701,283,-439
828,-72,-509,843,156,996
-426,-408,-1000,-123,738,-785
-127,-404,-339,-278,-749,-741
706,-510,-313,878,314,700
-568,-881,-936,329,805,22
-758,670,-190,42,978,14
372,-832,-448,-496,404,-203
956,-181,-72,450,78,600
180,-75,949,285,-616,443
-424,-641,-934,58,699,-519
-778,-823,298,-139,-15,-445
-476,650,618,-401,-214,-683
682,-418,-781,-826,-357,-349
340,843,323,32,250,219
876,348,330,536,883,175
371,-705,597,523,-449,475
175,93,-627,-794,540,663
-934,793,-631,-660,-936,-435
926,143,-325,-539,490,-979
496,-468,276,637,414,-800
-663,-668,528,818,412,655
649,1000,795,-679,-406,-334
-493,-687,-556,342,714,705
974,-493,346,-110,-967,-492
-182,-494,861,959,384,611
892,-802,-669,947,204,228
-177,147,-690,-913,518,-220
566,-344,409,796,-271,115
-242,150,-421,446,-928,598
-549,406,606,525,-450,240
610,-888,-822,683,387,774
-769,-339,-849,-38,-633,968
-8,260,985,940,-893,283
543,-994,-107,408,-309,805
-206,780,-831,200,908,-180
-767,-883,944,-296,-869,-461
-347,41,132,552,535,-482
311,-252,-941,-274,354,920
670,-997,347,-691,-907,932
732,94,380,-742,614,-274
-914,721,165,951,-153,-175
661,817,387,-235,-448,234
858,322,182,298,-747,-398
330,-871,-848,943,986,-422
26,252,-538,-63,-152,684
-462,424,-886,-146,-45,-563
-125,-541,325,-862,259,398
82,-73,139,-875,508,-469
-145,155,-28,-857,-208,-472
625,-715,-577,-245,-975,-699
305,624,140,806,-584,-394
-28,125,-911,42,914,-751
487,-814,-939,205,677,-104
23,716,-211,-258,-412,-563
11,-289,-499,-65,646,-502
-185,921,-703,498,2,812
-244,357,15,-694,816,653
553,-341,406,-501,747,-752
664,-944,-950,-928,826,786
87,906,845,-335,-57,-705
918,597,136,370,961,-709
-837,-724,586,883,918,747
764,-446,-117,577,-866,308
-578,-18,586,630,442,840
125,-29,431,-902,128,750
-586,929,-918,-496,264,489
-253,656,-624,-702,951,-526
759,-707,-512,190,-496,320
28,-872,351,731,166,866
-381,211,944,98,-205,-434
-63,334,352,637,273,445
915,759,-497,-66,709,-162
174,-704,-274,-424,-913,936
421,-63,-948,574,55,-567
-523,-1000,-388,375,-973,867
185,-116,32,362,114,664
